REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
1;18/05/2012;18/05/2012;WASHINGTON;ETATS-UNIS;G8;38.8949549;-77.0366455;AME;PR;MULTILATERAL HORS UE;Washington, District of Columbia, United States of America;Amériques et Caraïbes;Sommet du G8;38e réunion du G8, réunissait les dirigeants des 7 pays démocratiques les plus industrialisés et la Russie, ou G8, du 18 au 19 mai 2012, dans la résidence américaine de Camp David (Maryland).;https://www.state.gov/e/eb/rls/othr/2012g8/;2012 G8 Releases;images/G8_SUMMIT_20120518.jpg;38e G8 summit
;19/05/2012;21/05/2012;CHICAGO;ETATS-UNIS;SOMMET DE L'OTAN;41.8755546;-87.6244211;AME;PR;MULTILATERAL HORS UE;Chicago, Cook County, Illinois, United States of America;Amériques et Caraïbes;Sommet de l’OTAN;Sommet des chefs d’État et de Gouvenement à Chicago en mai 2012.;http://www.nato.int/cps/en/natolive/events_84074.htm;Summit meetings of Heads of State and Government ;images/NATO_CHICAGO_20120519.jpg;2012 Chicago summit
6;18/06/2012;19/06/2012;LOS CABOS;MEXIQUE;SOMMET DU G20;23.27184805;-109.689768313;AME;PR;MULTILATERAL HORS UE;Los Cabos, Baja California Sur, México;Amériques et Caraïbes;Sommet du G20;;;;;
;20/06/2012;20/06/2012;RIO DE JANEIRO;BRESIL;CONFERENCE ONU SUR LE DEVELOPPEMENT DURABLE;-22.9110136;-43.2093726;AME;PR;MULTILATERAL HORS UE;Rio de Janeiro, Microrregião Rio de Janeiro, Região Metropolitana do Rio de Janeiro, RJ, Região Sudeste, Brasil;Amériques et Caraïbes;Conférence à l’ONU sur le développement durable;;;;;
111;12/12/2013;13/12/2013;SAO PAULO;BRESIL;VISITE OFFICIELLE DU PR;-23.5506506;-46.6333823;AME;PR;BILATERAL;SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, Brasil;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
;13/12/2013;13/12/2013;BRASILIA;BRESIL;VISITE OFFICIELLE DU PR;-10.3333332;-53.1999999;AME;PR;BILATERAL;Brasil;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
125;09/02/2014;12/02/2014;WASHINGTON;ETATS-UNIS;VISITE OFFICIELLE DU PR;38.8949549;-77.0366455;AME;PR;BILATERAL;Washington, District of Columbia, United States of America;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
;12/02/2014;13/02/2014;SAN-FRANCISCO;ETATS-UNIS;VISITE OFFICIELLE DU PR;37.7792808;-122.4192362;AME;PR;BILATERAL;SF, California, United States of America;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
137;10/04/2014;11/04/2014;MEXICO;MEXIQUE;VISITE OFFICIELLE DU PR;19.4326009;-99.1333415;AME;PR;BILATERAL;Ciudad de México, Cuauhtémoc, México;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
;11/04/2014;11/04/2014;QUERÉTARO DE ARTEAGA ;MEXIQUE;VISITE OFFICIELLE DU PR;20.8542575;-99.8475599;AME;PR;BILATERAL;Querétaro, México;Amériques et Caraïbes;Visite officielle du Président de la République;;;;;
183;01/11/2014;02/11/2014;CALGARY;CANADA;Visite d'état PR;51.02532675;-114.049868389;AME;PR;BILATERAL;Calgary, Alberta, Canada;Amériques et Caraïbes;Visite d'état du Président de la République;;;;;
;02/11/2014;03/11/2014;OTTAWA;CANADA;Visite d'état PR;45.4210328;-75.6900218;AME;PR;BILATERAL;Ottawa, Ontario, Canada;Amériques et Caraïbes;Visite d'état du Président de la République;;;;;
;03/11/2014;04/11/2014;QUÉBEC;CANADA;Visite d'état PR;46.8122800;-71.2145400;AME;PR;BILATERAL;Québec, Canada;Amériques et Caraïbes;Visite d'état du Président de la République;;;;;
;04/11/2014;05/11/2014;MONTRÉAL;CANADA;Visite d'état PR;45.4972159;-73.6103641;AME;PR;BILATERAL;Montréal, Montréal (06), Québec, Canada;Amériques et Caraïbes;Visite d'état du Président de la République;;;;;
