REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
27;04/11/2012;04/11/2012;BEYROUTH;LIBAN;RENCONTRES BILATERALES;33.8959203;35.47843;ANMO;PR;BILATERAL;بيروت, محافظة بيروت, لبنان;Afrique du nord – Moyen-orient;Rencontres bilatérales;Rencontre du président de la République, M. François Hollande, et du président de la République libanaise, M. Michel Sleimane – Beyrouth, 4 novembre 2012.;http://basedoc.diplomatie.gouv.fr/vues/Kiosque/FranceDiplomatie/kiosque.php?fichier=bafr2012-11-05.html;Bulletin d'actualités du 05 novembre 2012;;
;04/11/2012;05/11/2012;DJEDDAH;ARABIE SAOUDITE;RENCONTRES BILATERALES;21.5822247;39.1640396;ANMO;PR;BILATERAL;جدّة, مكة المكرمة, السعودية;Afrique du nord – Moyen-orient;Rencontres bilatérales;;;;;
38;19/12/2012;20/12/2012;ALGER;ALGERIE;RENCONTRES BILATERALES;36.775348;3.060065;ANMO;PR;BILATERAL;Alger, Daïra Sidi M'Hamed, Alger - الجزائر, RADP;Afrique du nord – Moyen-orient;Rencontres bilatérales;Mission "Coopération industrielle et technologique franco-algérienne";http://www.diplomatie.gouv.fr/fr/IMG/pdf/declaration2012-signee_cle0e89c7.pdf;Déclaration d’Alger sur l’amitié et la coopération entre la France et l’Algérie;;
;20/12/2012;20/12/2012;TLEMCEN;ALGERIE;RENCONTRES BILATERALES;34.881789;-1.3166989;ANMO;PR;BILATERAL;Tlemcen, daïra Tlemcen, Tlemcen, RADP;Afrique du nord – Moyen-orient;Rencontres bilatérales;;;;;
42;15/01/2013;15/01/2013;ABOU DABI;EMIRATS ARABES UNIS;VISITE BILATERALE DU PR;24.4747961;54.3705762;ANMO;PR;BILATERAL;Abu Dhabi, أبو ظبي, الإمارات العربيّة المتّحدة;Afrique du nord – Moyen-orient;Visite bilatérale du Président de la République;Visite de la base navale « Camp de la paix » et rencontre avec les forces françaises aux Emirats Arabes Unis. Visite du pavillon français du World Future Energy Summit. Allocution du Président de la République en séance inaugurale du World Future Energy Summit. Entretien avec Cheikh Khalifa bin Zayed Al Nahyan, Président de la fédération des Emirats Arabes Unis, Emir d’Abou Dabi, et déjeuner officiel. Entretien avec Cheikh Mohamed bin Zayed Al Nahyan, Prince héritier et Vice commandant suprême des forces armées. Clôture du dialogue stratégique d’affaires franco-émirien, en présence du Prince héritier.;http://www.ambafrance-eau.org/Visite-officielle-du-President-de,1678;Visite officielle du Président de la République aux Emirats Arabes Unis;;
;15/01/2013;15/01/2013;DUBAI;EMIRATS ARABES UNIS;VISITE BILATERALE DU PR;25.2683521;55.2961962;ANMO;PR;BILATERAL;Dubai, دبي‎, الإمارات العربيّة المتّحدة;Afrique du nord – Moyen-orient;Visite bilatérale du Président de la République;Entretien avec Mohamed Bin Rached Al Maktoum, vice-président, Premier ministre de la fédération des Emirats Arabes Unis, Emir de Dubaï. Conférence de presse du Président de la République. Allocution du Président de la République devant la communauté française.;;;;
60;03/04/2013;04/04/2013;CASABLANCA;MAROC;Visite d'Etat du PR;33.5949733;-7.6188008;ANMO;PR;BILATERAL;Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, Maroc ⵍⵎⵖⵔⵉⴱ المغرب;Afrique du nord – Moyen-orient;Visite de travail du Président de la République;;;;;
;04/04/2013;04/04/2013;RABAT;MAROC;Visite d'Etat du PR;34.0224046;-6.8345426;ANMO;PR;BILATERAL;Rabat ⵔⴱⴰⵟ الرباط, pachalik de Rabat الرباط, Préfecture de Rabat عمالة الرباط, Rabat-Salé-Kénitra ⴻⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, Maroc ⵍⵎⵖⵔⵉⴱ المغرب;Afrique du nord – Moyen-orient;Visite de travail du Président de la République;;;;;
;22/06/2013;23/06/2013;DOHA;QATAR;VISITE OFFICIELLE DU PR;25.3014957;51.4996673988;ANMO;PR;BILATERAL;Doha, Ad Dawhah, ‏قطر‎;Afrique du nord – Moyen-orient;Visite officielle du Président de la République;;;;;
;23/06/2013;24/06/2013;AMMAN;JORDANIE;VISITE OFFICIELLE DU PR;31.9515694;35.9239625;ANMO;PR;BILATERAL;عمان‎, Amman, الأردن;Afrique du nord – Moyen-orient;Visite officielle du Président de la République;;;;;
