REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
2;24/05/2012;25/05/2012;KABOUL;AFGHANISTAN;VISITE BILATERALE DU PR;34.5260131;69.1776476;ASIE;PR;BILATERAL;کابل Kabul, کابل, Kabul, افغانستان;Asie – Océanie;Visite bilatérale du Président de la République;Après s'être rendu dans la matinée auprès des soldats français dans la province de Kapisa, à Nijrab, le chef de l'Etat est arrivé à Kaboul pour y rencontrer le président afghan, M. Hamid Karzaï, des représentants de la société civile afghane et la communauté française devant laquelle il prononcera une allocution.;;;;
;05/11/2012;05/11/2012;VIENTIANE;LAOS;RENCONTRES BILATERALES;17.9640988;102.6133707;ASIE;PR;BILATERAL;ວຽງຈັນ, Sisattanak, ນະຄອນຫຼວງວຽງຈັນ, ປະເທດລາວ;Asie – Océanie;Rencontres bilatérales;;;;;
51;14/02/2013;15/02/2013;NEW DELHI;INDE;Visite d'Etat du PR;28.6138967;77.2159562;ASIE;PR;BILATERAL;New Delhi, New Delhi District, Delhi, India;Asie – Océanie;Visite de travail du Président de la République;;;;;
;15/02/2013;15/02/2013;BOMBAY;INDE;Visite d'Etat du PR;18.9321862;72.8308337;ASIE;PR;BILATERAL;Mumbai, Greater Bombay, Maharashtra, India;Asie – Océanie;Visite de travail du Président de la République;;;;;
67;25/04/2013;26/04/2013;PEKIN;CHINE;Visite d'Etat du PR;39.9059631;116.391248;ASIE;PR;BILATERAL;北京市, 东城区, 北京市, 100010, 中国;Asie – Océanie;Visite de travail du Président de la République;Dans le cadre de la visite d'Etat du Président de la République en Chine, Geneviève Fioraso a présidé à la signature de onze accords visant à renforcer les partenariats entre la France et la Chine dans le domaine de l'enseignement supérieur, de la recherche et de l'innovation.;http://www.enseignementsup-recherche.gouv.fr/cid71672/11-accords-signes-a-pekin-pour-l-enseignement-superieur-et-la-recherche.html;11 accords signés à Pékin pour l'enseignement supérieur et la recherche;;
;26/04/2013;26/04/2013;SHANGHAI;CHINE;Visite d'Etat du PR;31.2253441;121.4888922;ASIE;PR;BILATERAL;上海市, 黄浦区, 上海市, 中国;Asie – Océanie;Visite de travail du Président de la République;À Shanghai, en République populaire de Chine, le président de la République a tenu un discours à l'occasion de l'inauguration de l’école d’ingénieurs PARIS TECH-SHANGHAI JIAO TONG.;http://www.dailymotion.com/embed/video/xzcgy3?hideInfos=1&related=0&wmode=opaque&info=0;Vidéo de l’allocution;;
75;05/06/2013;09/06/2013;TOKYO;JAPON;Visite d'Etat du PR;34.2255804;139.294774527;ASIE;PR;BILATERAL;東京都, 日本;Asie – Océanie;Visite de travail du Président de la République;Dans le domaine culturel, MM. Hollande et Abe ont établi une «Déclaration culturelle conjointe» revisitant l’accord culturel bilatéral datant de 1953 en le complétant notamment avec les coopérations qui n’existaient pas alors (dans le domaine du numérique, de la coopération décentralisée, des partenariats entre grands opérateurs culturels, par exemple). Cette déclaration reconnaît à l’Institut français du Japon une place centrale dans le dispositif de politique culturelle publique de la France au Japon.;http://www.institutfrancais.jp/wp-content/uploads/2013/06/130606-d%C3%A9cla-culture-FR1.pdf;Déclaration conjointe relative à la culture ;;
177;16/10/2014;17/10/2014;MILAN;ITALIE;10e Sommet de l'ASEM;45.4667971;9.1904984;ASIE;PR;MULTILATERAL HORS UE;Milano, MI, LOM, Italia;Asie – Océanie;Sommet de l’ASEM;10eme Sommet de l’ASEM. Le dialogue Europe-Asie dit « ASEM » (Asia Europe Meeting) a été lancé à Bangkok en 1996, à la suite d’une initiative franco-singapourienne. L’idée a d’abord été proposée aux autorités françaises par le Premier ministre de Singapour, en visite à Paris en 1994. Il s’agissait de développer les relations entre l’Europe et l’Asie qui étaient alors à un niveau jugé inférieur à celui des relations entre les Etats-Unis et l’Asie, qui venaient de fonder l’Asia Pacific economic cooperation forum (APEC). M. François-Xavier ORTOLI a été chargé de convaincre les autres pays membres de l’Union européenne de s’associer à ce projet;http://www.diplomatie.gouv.fr/fr/dossiers-pays/asie/relations-entre-l-europe-et-l-asie/article/dialogue-europe-asie-asem;Dialogue Europe - Asie (ASEM);;
186;17/11/2014;18/11/2014;NOUMÉA;NOUVELLE CALÉDONIE;VISITE OFFICIELLE DU PR;-22.2745263;166.442419;ASIE;PR;BILATERAL;Nouméa, Province Sud, Nouvelle-Calédonie, 98800, Nouvelle-Calédonie;Asie – Océanie;Visite officielle du Président de la République;;;;;
187;18/11/2014;19/11/2014;SYDNEY;AUSTRALIE;Visite d'état PR;-33.8679573;151.210047;ASIE;PR;BILATERAL;Sydney, NSW, Australia;Asie – Océanie;Visite d'état du Président de la République;Le chef de l’Etat effectue les 18 et 19 novembre 2014 une visite d’Etat en Australie à l’invitation du gouvernement australien, au cours de laquelle il rencontre le Premier ministre, Tony ABBOTT. François Hollande se rende à Sydney puis à Canberra. Il s’agit de la première visite d’Etat en Australie d’un Président français.;http://www.ambafrance-au.org/Communique-de-presse-Visite-d-Etat;Communiqué de presse : Visite d’Etat en Australie ;;
;19/11/2014;20/11/2014;CANBERRA;AUSTRALIE;Visite d'état PR;-35.2975905;149.1012676;ASIE;PR;BILATERAL;Canberra, Canberra Central, Australian Capital Territory, Australia;Asie – Océanie;Visite d'état du Président de la République;;http://www.aefe.fr/vie-du-reseau/toute-lactualite/visite-du-president-de-la-republique-au-lycee-franco-australien-de-canberra;Visite du président de la République au Lycée franco-australien de Canberra;;
206;06/02/2015;06/02/2015;MOSCOU;RUSSIE;Déplacement avec le PR sur la crise en Ukraine;55.7506828;37.6174976;ASIE;PR;AUTRE;Москва, Центральный административный округ, Москва, ЦФО, РФ;Asie – Océanie;Déplacement avec le Président de la République sur la crise en Ukraine;NOTA : Ce jour-là, le site de l’Elysée ne met à disposition aucune archive en ligne sur ce déplacement. Par contre le 8 février il y a eu un entretien téléphonique entre M. le Président, Mme Merkel, M. Porochenko et M. Poutine.;;;;
