REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
24;12/10/2012;12/10/2012;DAKAR;SENEGAL;RENCONTRES BILATERALES;14.693425;-17.4479379;DAOI;PR;BILATERAL;Dakar, Sénégal;Afrique - Ocean indien;Rencontres bilatérales;Le Président de la République, François HOLLANDE, se rendra à Dakar en République du Sénégal, le vendredi 12 octobre 2012. Puis, le samedi 13 octobre 2012, il se rendra à Kinshasa, en République démocratique du Congo dans le cadre du XIVème sommet de la Francophonie.;http://www.elysee.fr/communiques-de-presse/article/deplacement-en-afrique/;Déplacement en Afrique;;
;13/10/2012;13/10/2012;KINSHASA;RDC;SOMMET DE LA FRANCOPHONIE;-4.3217054;15.3125974;DAOI;PR;MULTILATERAL HORS UE;Kinshasa, République démocratique du Congo;Afrique - Ocean indien;Sommet de la Francophonie;;;;;
49;02/02/2013;02/02/2013;MOPTI;MALI;Rencontre avec les armées française et malienne;14.4879631;-4.1905985;DAOI;PR;BILATERAL;Mopti, Cercle de Mopti, Mopti, Mali;Afrique - Ocean indien;Rencontre avec les armées française et malienne;Le président de la République s'est rendu au Mali, où il a rencontré les soldats agissant dans le cadre de l'opération Serval et réaffirmé le soutien de la France au peuple malien.;http://www.dailymotion.com/embed/video/xxbqq1?hideInfos=1&related=0&wmode=opaque&info=0;Déplacement au Mali – Reportage vidéo;;
;02/02/2013;02/02/2013;TOMBOUCTOU;MALI;Rencontre avec les armées française et malienne;16.7719091;-3.0087271;DAOI;PR;BILATERAL;Tombouctou, Cercle de Tombouctou, Tombouctou, Mali;Afrique - Ocean indien;Rencontre avec les armées française et malienne;;;;;
;02/02/2013;02/02/2013;BAMAKO;MALI;Rencontre avec les armées française et malienne;12.649319;-8.0003369;DAOI;PR;BILATERAL;Bamako, District de Bamako, Mali;Afrique - Ocean indien;Rencontre avec les armées française et malienne;;http://www.elysee.fr/declarations/article/discours-de-m-dioncounda-traore-president-de-la-republique-du-mali-et-du-president-de-la-republique-francaise/;Discours de M. Dioncounda Traoré, Président de la République du Mali, et du Président de la République française;;
70;15/05/2013;15/05/2013;BRUXELLES;BELGIQUE;CONFERENCE INTERNATIONALE DONATEURS MALI;50.8465565;4.351697;DAOI;PR;MULTILATERAL HORS UE;BXL, Bruxelles-Capitale - Brussel-Hoofdstad, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien;Afrique - Ocean indien;Conférence des Donateurs pour le Développement du Mali;Une conférence internationale de haut niveau pour le soutien et le développement du Mali, co-présidée par l’Union européenne et la France, a été organisée à Bruxelles le 15 mai 2013.;http://donor-conference-mali.eu/fr;;;
93;15/10/2013;15/10/2013;JOHANNESBURG;AFRIQUE DU SUD;VISITE OFFICIELLE DU PR;-26.2049999;28.049722;DAOI;PR;AUTRE;Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa;Afrique - Ocean indien;Visite officielle du Président de la République;;;;;
127;27/02/2014;28/02/2014;ABUJA;NIGERIA;VISITE OFFICIELLE DU PR;9.0643305;7.4892974;DAOI;PR;BILATERAL;Abuja, Municipal Area Council, Federal Capital Territory, Nigeria;Afrique - Ocean indien;Visite officielle du Président de la République;;;;;
128;28/02/2014;28/02/2014;BANGUI;RÉPUBLIQUE DE CENTRAFRIQUE;VISITE OFFICIELLE DU PR;4.3612200;18.5549600;DAOI;PR;BILATERAL;;Afrique - Ocean indien;Visite officielle du Président de la République;;;;;
169;12/09/2014;12/09/2014;BAGDAD;IRAK;Visite de travail du PR;33.3024248;44.3787992;DAOI;PR;BILATERAL;بغداد, الكرخ, محافظة بغداد, العراق;Afrique - Ocean indien;Visite de travail du Président de la République;;;;;
;12/09/2014;12/09/2014;ERBIL;IRAK;Visite de travail du PR;36.5349312;44.2534471;DAOI;PR;BILATERAL;أربيل, إقليم كردستان, العراق;Afrique - Ocean indien;Visite de travail du Président de la République;;;;;
