REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
5;14/06/2012;14/06/2012;ROME;ITALIE;VISITE BILATERALE DU PR;41.85233365;12.6308541512;Europe Occ.;PR;BILATERAL;RM, LAZ, Italia;Europe Occidentale;Visite bilatérale du Président de la République;;;;;
23;05/10/2012;05/10/2012;LA VALETTE;MALTE;Sommet du dialogue 5+5;35.8989818;14.5136759;Europe Occ.;PR;UE;Valletta, Malta;Europe Occidentale;Sommet du dialogue 5+5;Le sommet du dialogue 5+5 s’est tenu à Malte le 5 octobre. Ce forum qui réunit cinq pays du nord de la Méditerranée (Espagne, Malte, Portugal, Italie, France) et cinq pays du sud de la Méditerranée (Tunisie, Maroc, Algérie, Mauritanie, Libye) constitue un cadre souple et informel de dialogue entre les deux rives de la Méditerranée depuis sa création en 1990.;http://www.elysee.fr/communiques-de-presse/article/deplacement-a-malte-au-sommet-du-dialogue-5/;Déplacement à Malte au Sommet du dialogue 5+5;;
30;16/11/2012;16/11/2012;VARSOVIE;POLOGNE;RENCONTRES BILATERALES;52.2319237;21.0067265;Europe Occ.;PR;BILATERAL;Warszawa, mazowieckie, Polska;Europe Occidentale;Rencontres bilatérales;;;;;
33;03/12/2012;03/12/2012;LYON;FRANCE;SOMMET France-Italie;45.7578137;4.8320114;Europe Occ.;PR;BILATERAL;Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France;Europe Occidentale;Sommet France-Italie;;;;;
45;22/01/2013;22/01/2013;BERLIN;ALLEMAGNE;50ème anniversaire du Traité de l'Elysée + 15ème conseil des ministres franco-allemand;52.5170365;13.3888599;Europe Occ.;PR;BILATERAL;Berlin, Deutschland;Europe Occidentale;50ème anniversaire du Traité de l'Elysée - 15ème conseil des ministres franco-allemand;;;;;
83;25/07/2013;25/07/2013;LJUBLJANA;SLOVENIE;SOMMET AVEC LES BALKANS OCCIDENTAUX & VISITE OFFICIELLE DU PR;46.049865;14.5068921;Europe Occ.;PR;BILATERAL;Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, Slovenija;Europe Occidentale;Sommet avec les Balkans occidentaux ;;;;;
100;29/10/2013;29/10/2013;BRATISLAVA;SLOVAKIE;VISITE OFFICIELLE DU PR;48.1359085;17.1597440625;Europe Occ.;PR;UE;Bratislava, Bratislavský kraj, Slovensko;Europe Occidentale;Visite officielle du Président de la République;;;;;
106;20/11/2013;20/11/2013;ROME;ITALIE;SOMMET France-Italie;41.85233365;12.6308541512;Europe Occ.;PR;AUTRE;RM, LAZ, Italia;Europe Occidentale;Sommet France-Italie;;;;;
109;27/11/2013;27/11/2013;MADRID;ESPAGNE;Sommet Franco-Espagnol;40.4167047;-3.7035824;Europe Occ.;PR;AUTRE;Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España;Europe Occidentale;Sommet Franco-Espagnol;;;;;
122;31/01/2014;31/01/2014;LONDRES;ROYAUME-UNI;VISITE OFFICIELLE DU PR - Sommet franco-Britannique;51.5073219;-0.1276473;Europe Occ.;PR;BILATERAL;London, Greater London, England, UK;Europe Occidentale;Sommet Franco-Britannique;;;;;
